"code";"text";"markdown"
"Emmet1996b";"Emmet, A. M., 1996b. Family Schreckensteiniidae. In: Emmet, A. M. (ed.): The Moths and Butterflies of Great Britain and Ireland. Volume 3: Yponomeutidae - Elachistidae. — Harley Books, Colchester, 452 p.";"**Emmet, A. M.**, 1996b. Family Schreckensteiniidae. In: Emmet, A. M. (ed.): *The Moths and Butterflies of Great Britain and Ireland. Volume 3: Yponomeutidae - Elachistidae*. - Harley Books, Colchester, 452 p."
"EmmetHeath1989";"Emmet, A. M. & Heath, J. (Eds.), 1989. The Moths and Butterflies of Great Britain and Ireland 7(2): The butterflies. — Harley Books, Colchester, 379 p., 24 colour plates.";"**Emmet, A. M. &amp; Heath, J.** (Eds.), 1989. *The Moths and Butterflies of Great Britain and Ireland 7(2): The butterflies*. - Harley Books, Colchester, 379 p., 24 colour plates."
"Emmetetal1985";"Emmet, A. M., Watkinson, I. A. & Wilson, M. R., 1985. Family Gracillariidae. In: Heath, J. & Emmet, A. M. (Eds.): The Moths and Butterflies of Great Britain and Ireland 2. Cossidae - Heliodinidae. — Harley Books, Colchester, 460 p. (2 pls, 11 colour plates).";"**Emmet, A. M., Watkinson, I. A. &amp; Wilson, M. R.**, 1985. Family Gracillariidae. In: Heath, J. &amp; Emmet, A. M. (Eds.): *The Moths and Butterflies of Great Britain and Ireland 2. Cossidae - Heliodinidae*. - Harley Books, Colchester, 460 p. (2 pls, 11 colour plates)."
"Emmetetal1996";"Emmet, A. M., Langmaid, J. R., Bland, K. P., Corley, M. F. V. & Razowski, J., 1996. Coleophoridae. In: Emmet, A. M. (ed.): The Moths and Butterflies of Great Britain and Ireland. Volume 3: Yponomeutidae - Elachistidae. — Harley Books, Colchester, 452 p.";"**Emmet, A. M., Langmaid, J. R., Bland, K. P., Corley, M. F. V. &amp; Razowski, J.**, 1996. Coleophoridae. In: Emmet, A. M. (ed.): *The Moths and Butterflies of Great Britain and Ireland. Volume 3: Yponomeutidae - Elachistidae*. - Harley Books, Colchester, 452 p."
"Englert1974";"Englert, W. D., 1974. Revision der Gattung Metzneria Zeller (Lepid., Gelechiidae) mit Beiträgen zur Biologie der Arten. — Zeitschrift zur angewandte Entomologie 75: 381-421.";"**Englert, W. D.**, 1974. Revision der Gattung *Metzneria* Zeller (Lepid., Gelechiidae) mit Beitr&auml;gen zur Biologie der Arten. - *Zeitschrift zur angewandte Entomologie* **75**: 381-421."
"Falkovitch1990a";"Falkovitch, M. I., 1990a. 33. Family Epermeniidae. In: Medvedev, G. S. (Ed.): Keys to the insects of the European part of the USSR 4 (2). — E. J. Brill, Leiden, New York, København, Köln, 1092 p.";"**Falkovitch, M. I.**, 1990a. 33. Family Epermeniidae. In: Medvedev, G. S. (Ed.): *Keys to the insects of the European part of the USSR* **4** (2). - E. J. Brill, Leiden, New York, K&oslash;benhavn, K&ouml;ln, 1092 p."
"Falkovitch1990b";"Falkovitch, M. I., 1990b. 34. Family Scythrididae. In: Medvedev, G. S. (Ed.): Keys to the insects of the European part of the USSR 4 (2). — E. J. Brill, Leiden, New York, København, Köln, 1092 p.";"**Falkovitch, M. I.**, 1990b. 34. Family Scythrididae. In: Medvedev, G. S. (Ed.): *Keys to the insects of the European part of the USSR* **4** (2). - E. J. Brill, Leiden, New York, K&oslash;benhavn, K&ouml;ln, 1092 p."
"Falkovitch1990c";"Falkovitch, M. I., 1990c. 35. Family Elachistidae. In: Medvedev, G. S. (Ed.): Keys to the insects of the European part of the USSR 4 (2). — E. J. Brill, Leiden, New York, København, Köln, 1092 p.";"**Falkovitch, M. I.**, 1990c. 35. Family Elachistidae. In: Medvedev, G. S. (Ed.): *Keys to the insects of the European part of the USSR* **4** (2). - E. J. Brill, Leiden, New York, K&oslash;benhavn, K&ouml;ln, 1092 p."
"Falkovitch1990d";"Falkovitch, M. I., 1990d. 37. Family Schreckensteiniidae. In: Medvedev, G. S. (Ed.): Keys to the insects of the European part of the USSR 4 (2). — E. J. Brill, Leiden, New York, København, Köln, 1092 p.";"**Falkovitch, M. I.**, 1990d. 37. Family Schreckensteiniidae. In: Medvedev, G. S. (Ed.): *Keys to the insects of the European part of the USSR* **4** (2). - E. J. Brill, Leiden, New York, K&oslash;benhavn, K&ouml;ln, 1092 p."
"Falkovitch1990e";"Falkovitch, M. I., 1990e. 38. Family Heliodinidae. In: Medvedev, G. S. (Ed.): Keys to the insects of the European part of the USSR 4 (2). — E. J. Brill, Leiden, New York, København, Köln, 1092 p.";"**Falkovitch, M. I.**, 1990e. 38. Family Heliodinidae. In: Medvedev, G. S. (Ed.): *Keys to the insects of the European part of the USSR* **4** (2). - E. J. Brill, Leiden, New York, K&oslash;benhavn, K&ouml;ln, 1092 p."
"Falkovitch1997";"Falkovitch, M. I., 1997. Family Crambidae - Grass Moths. In: Skarlato, O. A. (Ed.): Keys to the Fauna of the USSR 4 (3), St. Petersburg, 589-668 p.";"**Falkovitch, M. I.**, 1997. Family Crambidae - Grass Moths. In: Skarlato, O. A. (Ed.): *Keys to the Fauna of the USSR* **4** (3), St. Petersburg, 589-668 p. "
"Fibiger1990";"Fibiger, M., 1990. Noctuidae Europaeae Volume 1 Noctuinae I. — Entomological Press, Sorø, 208 p., 16 colour plates.";"**Fibiger, M.**, 1990. *Noctuidae Europaeae Volume ***1*** Noctuinae I.* - Entomological Press, Sor&oslash;, 208 p., 16 colour plates."
